"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"February 18, 2014",Missouri,Springfield,"1538 E. Stanford St.",1,0,N/A
"February 17, 2014",Texas,"Corpus Christi","Cheryl St.",2,0,N/A
"February 17, 2014",Arkansas,"Union County",N/A,1,0,N/A
"February 13, 2014",Florida,"Lake Worth","1200 block of North O Street",1,0,N/A
"February 7, 2014",Massachusetts,Boston,"617 Morton St.",1,0,N/A
"February 6, 2014",Georgia,"Carroll County","Willow Lane",3,0,N/A
"February 6, 2014",Arkansas,"Devalls Bluff","Griffin Lane",1,0,N/A
"February 3, 2014",Texas,Cypress,"14015 Fosters Creeks Drive",4,0,N/A
"January 29, 2014","North Carolina","Snow Hill",N/A,1,0,N/A
"January 29, 2014","North Carolina","Greene County",N/A,1,0,N/A
"January 28, 2014",Illinois,Yorkville,"1400 block of Crimson Lane",1,0,N/A
"January 23, 2014",Texas,"Fort Hood",N/A,3,0,N/A
"January 22, 2014","North Carolina",Charlotte,"4600 block of Connecting Road",1,0,N/A
"January 22, 2014",California,Oakley,"Yosemite Circle ",1,0,N/A
"January 19, 2014",Ohio,Cleveland,"12800 block of Crossburn Ave",1,1,N/A
"January 16, 2014",Michigan,Romulus,"71000 block of Tuxedo street",1,0,N/A
